item_id,title,brand,category_id,domain_id,price,base_price,original_price,currency,condition,seller_id,free_shipping,logistic_type,available_quantity,listing_type_id,permalink,status,catalog_listing,catalog_product_id,seller_city,seller_state,seller_country
MLB3958793761,Google Chromecast 4k Chromecast With Google Tv Ga01919-us 4ª Geração De Voz 4k 8gb Sunrise Com 2gb De Memória Ram,Google,MLB133950,MLB-STREAMING_MEDIA_DEVICES,604,604,,BRL,new,31870606,True,cross_docking,,gold_special,https://produto.mercadolivre.com.br/MLB-3958793761-google-chromecast-4k-chromecast-with-google-tv-ga01919-us-4-geraco-de-voz-4k-8gb-sunrise-com-2gb-de-memoria-ram-_JM,active,True,MLB16233186,Sarandi,Paraná,Brasil
MLB3511433591,Xiaomi Mi Stick 4k Novo 2023 8gb 2gb De Mem Ram Lacrado 2nd,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,439.99,439.99,,BRL,new,812113270,True,xd_drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-3511433591-xiaomi-mi-stick-4k-novo-2023-8gb-2gb-de-mem-ram-lacrado-2nd-_JM,active,False,MLB22726590,Serra,Espírito Santo,Brasil
MLB4130780102,Roku Express 3930 Padrão Hd 32mb Preto Com 512mb Memória Ram,Roku,MLB133950,MLB-STREAMING_MEDIA_DEVICES,299.88,299.88,,BRL,new,54795867,True,cross_docking,,gold_special,https://produto.mercadolivre.com.br/MLB-4130780102-roku-express-3930-padro-hd-32mb-preto-com-512mb-memoria-ram-_JM,active,False,MLB15970893,Belo Horizonte,Minas Gerais,Brasil
MLB3336249209,Xiaomi Mi Tv Box S 2ª Geração 4k Mdz-28-aa Google Tv ,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,521.24,521.24,,BRL,new,75485578,True,xd_drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-3336249209-xiaomi-mi-tv-box-s-2-geraco-4k-mdz-28-aa-google-tv-_JM,active,False,MLB23069361,Curitiba,Paraná,Brasil
MLB5178808890,Aparelho Smart Tv Xiaomi Mi Tv Box Stick Chromecast E Google Cor Preto Tipo De Controle Remoto De Voz,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,309,309,,BRL,new,424693943,True,drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-5178808890-aparelho-smart-tv-xiaomi-mi-tv-box-stick-chromecast-e-google-cor-preto-tipo-de-controle-remoto-de-voz-_JM,active,True,MLB42838649,Presidente Prudente,São Paulo,Brasil
MLB2927636458,Xiaomi Mi Box S 4k 8gb - Novo/nota/original,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,521.24,521.24,,BRL,new,75485578,True,xd_drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-2927636458-xiaomi-mi-box-s-4k-8gb-novonotaoriginal-_JM,active,False,MLB13877782,Curitiba,Paraná,Brasil
MLB4379706868,Xiaomi Mi Stick 4k 2024 8gb 2gb Lacrado 2nd Geração Pt - Br,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,439.99,439.99,,BRL,new,1028695552,True,xd_drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-4379706868-xiaomi-mi-stick-4k-2024-8gb-2gb-lacrado-2nd-geraco-pt-br-_JM,active,False,MLB22726590,Serra,Espírito Santo,Brasil
MLB1884552394,Xiaomi Mi Tv Stick Mdz-24-aa,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,349.0,349.0,,BRL,new,142186914,True,xd_drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-1884552394-xiaomi-mi-tv-stick-mdz-24-aa-_JM,active,False,,Pinhais,Paraná,Brasil
MLB1805656853,Google Chromecast With Google Tv 4ª Geração Com Comando De Voz Ga01919-us,Google,MLB133950,MLB-STREAMING_MEDIA_DEVICES,549.99,549.99,,BRL,new,276901797,True,xd_drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-1805656853-google-chromecast-with-google-tv-4-geraco-com-comando-de-voz-ga01919-us-_JM,active,True,MLB16233185,São Paulo,São Paulo,Brasil
MLB3820712515,Roku Express Streaming Player Full Hd Conversor Smart Tv Nf,Roku,MLB133950,MLB-STREAMING_MEDIA_DEVICES,286.22,286.22,,BRL,new,185147827,True,fulfillment,,gold_special,https://produto.mercadolivre.com.br/MLB-3820712515-roku-express-streaming-player-full-hd-conversor-smart-tv-nf-_JM,active,False,MLB24817938,Barueri,São Paulo,Brasil
